Epoch 1/30:
-------------------------------
  Batch     0/  600 - avrg_Loss: 1.349144  processed_samples: 0.166667%
  Batch     1/  600 - avrg_Loss: 1.349156  processed_samples: 0.333333%
  Batch     2/  600 - avrg_Loss: 1.337292  processed_samples: 0.500000%
  Batch     3/  600 - avrg_Loss: 1.302881  processed_samples: 0.666667%
  Batch     4/  600 - avrg_Loss: 1.271676  processed_samples: 0.833333%
  Batch     5/  600 - avrg_Loss: 1.249097  processed_samples: 1.000000%
  Batch     6/  600 - avrg_Loss: 1.215293  processed_samples: 1.166667%
  Batch     7/  600 - avrg_Loss: 1.184152  processed_samples: 1.333333%
  Batch     8/  600 - avrg_Loss: 1.157183  processed_samples: 1.500000%
  Batch     9/  600 - avrg_Loss: 1.129928  processed_samples: 1.666667%
  Batch    10/  600 - avrg_Loss: 1.103749  processed_samples: 1.833333%
  Batch    11/  600 - avrg_Loss: 1.079591  processed_samples: 2.000000%
  Batch    12/  600 - avrg_Loss: 1.054449  processed_samples: 2.166667%
  Batch    13/  600 - avrg_Loss: 1.035281  processed_samples: 2.333333%
  Batch    14/  600 - avrg_Loss: 1.016317  processed_samples: 2.500000%
  Batch    15/  600 - avrg_Loss: 0.998538  processed_samples: 2.666667%
  Batch    16/  600 - avrg_Loss: 0.982249  processed_samples: 2.833333%
  Batch    17/  600 - avrg_Loss: 0.967380  processed_samples: 3.000000%
  Batch    18/  600 - avrg_Loss: 0.953938  processed_samples: 3.166667%
  Batch    19/  600 - avrg_Loss: 0.941224  processed_samples: 3.333333%
  Batch    20/  600 - avrg_Loss: 0.929097  processed_samples: 3.500000%
  Batch    21/  600 - avrg_Loss: 0.918697  processed_samples: 3.666667%
  Batch    22/  600 - avrg_Loss: 0.907019  processed_samples: 3.833333%
  Batch    23/  600 - avrg_Loss: 0.898249  processed_samples: 4.000000%
  Batch    24/  600 - avrg_Loss: 0.890227  processed_samples: 4.166667%
  Batch    25/  600 - avrg_Loss: 0.882829  processed_samples: 4.333333%
  Batch    26/  600 - avrg_Loss: 0.875129  processed_samples: 4.500000%
  Batch    27/  600 - avrg_Loss: 0.868826  processed_samples: 4.666667%
  Batch    28/  600 - avrg_Loss: 0.862626  processed_samples: 4.833333%
  Batch    29/  600 - avrg_Loss: 0.856983  processed_samples: 5.000000%
